City,Lon,Lat,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
clyde river,-68.5914,70.4692,32.97,97,100,9.26,CA,2021-06-26
erenhot,111.9767,43.6475,73.54,44,27,7.52,CN,2021-06-26
port-cartier,-66.8654,50.0334,56.93,90,100,2.66,CA,2021-06-26
poum,164.0167,-20.2333,75.74,73,95,16.91,NC,2021-06-26
leh,77.5833,34.1667,50.36,53,45,4.07,IN,2021-06-26
vaini,-175.2,-21.2,73.56,83,40,13.8,TO,2021-06-26
yar-sale,70.8333,66.8333,50.2,47,38,7.96,RU,2021-06-26
yuxia,108.6291,34.0615,73.13,86,100,1.48,CN,2021-06-26
pasighat,95.3333,28.0667,78.96,94,74,2.26,IN,2021-06-26
bethel,-73.414,41.3712,70.0,81,1,0.0,US,2021-06-26
luba,8.5547,3.4568,79.66,83,89,7.43,GQ,2021-06-26
ilulissat,-51.1,69.2167,51.82,43,75,10.36,GL,2021-06-26
mahebourg,57.7,-20.4081,70.56,82,80,13.33,MU,2021-06-26
lingyuan,119.4011,41.24,75.52,67,99,12.1,CN,2021-06-26
cape town,18.4232,-33.9258,58.87,82,75,7.0,ZA,2021-06-26
lincoln,-96.667,40.8,84.02,70,20,1.01,US,2021-06-26
quatre cocos,57.7625,-20.2078,69.69,84,74,11.27,MU,2021-06-26
hofn,-15.2082,64.2539,49.6,94,60,20.65,IS,2021-06-26
guerrero negro,-114.0611,27.9769,68.27,76,8,22.68,MX,2021-06-26
manaure,-72.4445,11.7751,81.73,74,99,13.67,CO,2021-06-26
pacific grove,-121.9166,36.6177,81.81,83,75,4.0,US,2021-06-26
uporovo,66.2693,56.3109,61.11,66,55,2.08,RU,2021-06-26
gladstone,151.25,-23.85,67.93,88,75,4.61,AU,2021-06-26
mastung,66.845,29.7994,68.97,9,0,3.02,PK,2021-06-26
saint-philippe,55.7679,-21.3585,69.35,77,12,6.22,RE,2021-06-26
georgetown,100.3354,5.4112,82.89,84,20,0.0,MY,2021-06-26
punta arenas,-70.9167,-53.15,35.71,75,0,14.97,CL,2021-06-26
sitka,-135.33,57.0531,57.09,82,90,9.22,US,2021-06-26
khatanga,102.5,71.9667,46.45,52,100,9.28,RU,2021-06-26
alyangula,136.4192,-13.8483,73.27,83,90,9.22,AU,2021-06-26
fallon,-118.7774,39.4735,94.78,12,40,8.05,US,2021-06-26
chokurdakh,147.9167,70.6333,80.98,24,100,17.31,RU,2021-06-26
havre-saint-pierre,-63.5986,50.2334,56.7,79,100,6.22,CA,2021-06-26
pangnirtung,-65.7125,66.1451,42.82,68,100,4.74,CA,2021-06-26
thompson,-97.8558,55.7435,64.89,62,100,2.39,CA,2021-06-26
toppenish,-120.3087,46.3774,100.26,28,0,5.14,US,2021-06-26
teahupoo,-149.2667,-17.8333,78.53,76,69,15.57,PF,2021-06-26
kirakira,161.9205,-10.4544,80.51,84,100,11.16,SB,2021-06-26
nikolskoye,30.7861,59.7035,68.4,97,100,2.93,RU,2021-06-26
hwange,26.5019,-18.3693,58.01,53,0,2.98,ZW,2021-06-26
atuona,-139.0333,-9.8,79.34,73,23,18.72,PF,2021-06-26
norman wells,-126.8329,65.282,69.39,55,100,8.43,CA,2021-06-26
itarema,-39.9167,-2.9248,76.62,85,14,6.8,BR,2021-06-26
mayo,-76.5119,38.8876,77.23,82,1,7.0,US,2021-06-26
ostrovnoy,39.5131,68.0531,47.7,97,100,10.27,RU,2021-06-26
najran,44.1277,17.4924,78.08,16,100,5.73,SA,2021-06-26
tasiilaq,-37.6368,65.6145,55.56,57,0,11.39,GL,2021-06-26
otjimbingwe,16.1333,-22.35,57.79,40,0,3.22,NA,2021-06-26
katsuura,140.3,35.1333,83.23,72,100,8.08,JP,2021-06-26
parral,-105.6667,26.9333,89.06,18,7,14.79,MX,2021-06-26
pahrump,-115.9839,36.2083,100.06,9,20,3.0,US,2021-06-26
kichera,110.0997,55.9375,72.97,61,2,1.83,RU,2021-06-26
vestmannaeyjar,-20.2734,63.4427,48.87,87,100,15.23,IS,2021-06-26
balkhash,74.9804,46.844,61.32,58,100,9.62,KZ,2021-06-26
vila velha,-40.2925,-20.3297,66.15,94,20,3.44,BR,2021-06-26
kaliua,31.7936,-5.0606,65.62,55,49,2.21,TZ,2021-06-26
mareeba,145.4333,-17.0,76.44,73,100,5.64,AU,2021-06-26
kavaratti,72.642,10.5669,82.45,74,39,16.53,IN,2021-06-26
pisco,-76.2167,-13.7,62.65,82,90,14.97,PE,2021-06-26
antalaha,50.2788,-14.9003,65.39,85,0,6.4,MG,2021-06-26
walvis bay,14.5053,-22.9575,59.63,59,0,12.62,NA,2021-06-26
mbanza-ngungu,14.8667,-5.25,68.61,89,95,10.18,CD,2021-06-26
namibe,12.1522,-15.1961,68.05,63,1,2.48,AO,2021-06-26
kuliyapitiya,80.0401,7.4688,76.91,89,76,6.24,LK,2021-06-26
atar,-13.0499,20.5169,87.44,40,21,11.36,MR,2021-06-26
placido de castro,-67.1856,-10.3353,75.61,57,4,1.66,BR,2021-06-26
ancud,-73.8203,-41.8697,43.03,73,7,4.92,CL,2021-06-26
aklavik,-135.0107,68.2191,65.12,61,98,23.67,CA,2021-06-26
port alfred,26.891,-33.5906,63.45,45,0,24.65,ZA,2021-06-26
birjand,59.2211,32.8663,66.47,38,0,9.86,IR,2021-06-26
teguldet,88.1667,57.3064,51.87,98,100,7.09,RU,2021-06-26
sistranda,8.834,63.7256,49.89,80,100,14.2,NO,2021-06-26
urbano santos,-43.4036,-3.2078,71.94,95,0,3.49,BR,2021-06-26
narsaq,-46.05,60.9167,53.82,74,100,2.01,GL,2021-06-26
warud,78.2667,21.4667,78.78,81,65,7.11,IN,2021-06-26
belmonte,-38.8828,-15.8631,73.9,74,100,7.7,BR,2021-06-26
powell river,-124.5361,49.8496,98.04,56,1,1.41,CA,2021-06-26
dikson,80.5464,73.5069,31.87,92,14,6.38,RU,2021-06-26
ca mau,105.15,9.1769,84.83,68,100,6.67,VN,2021-06-26
ixtapa,-105.2,20.7,83.43,74,75,9.22,MX,2021-06-26
nabire,135.4833,-3.3667,76.48,92,100,3.91,ID,2021-06-26
port lincoln,135.8667,-34.7333,55.87,63,53,15.21,AU,2021-06-26
cabo san lucas,-109.9124,22.8909,92.8,45,1,8.05,MX,2021-06-26
tahta,31.5021,26.7693,84.76,26,0,6.55,EG,2021-06-26
hasaki,140.8333,35.7333,83.17,74,100,7.56,JP,2021-06-26
wuda,106.7117,39.4994,81.52,34,100,1.36,CN,2021-06-26
new norfolk,147.0587,-42.7826,49.71,66,11,5.26,AU,2021-06-26
maxixe,35.3472,-23.8597,65.03,83,0,9.84,MZ,2021-06-26
mondlo,30.7177,-27.983,52.56,43,41,7.83,ZA,2021-06-26
vardo,31.1107,70.3705,46.9,81,10,11.97,NO,2021-06-26
glace bay,-59.957,46.1969,62.58,89,100,5.99,CA,2021-06-26
lewistown,-77.5714,40.5992,76.41,53,1,0.0,US,2021-06-26
upernavik,-56.1549,72.7868,40.78,78,100,12.95,GL,2021-06-26
leningradskiy,178.4167,69.3833,39.31,64,81,16.31,RU,2021-06-26
le port,55.2919,-20.9373,69.76,83,0,7.16,RE,2021-06-26
uvarovka,35.6061,55.5278,61.47,95,29,1.81,RU,2021-06-26
cherskiy,161.3,68.75,65.79,27,7,7.2,RU,2021-06-26
englehart,-79.8664,47.8169,70.36,83,90,9.22,CA,2021-06-26
matay,30.7792,28.419,80.2,48,0,10.29,EG,2021-06-26
qidong,121.6561,31.8128,75.97,87,100,11.23,CN,2021-06-26
flin flon,-101.865,54.7682,63.59,80,100,5.17,CA,2021-06-26
qaanaaq,-69.3632,77.484,39.45,74,77,1.03,GL,2021-06-26
camacha,-16.3333,33.0833,63.82,63,75,12.66,PT,2021-06-26
banda aceh,95.3222,5.5577,81.55,74,36,9.06,ID,2021-06-26
jalu,21.5482,29.0331,85.98,27,0,8.32,LY,2021-06-26
ribeira grande,-28.7,38.5167,67.77,80,98,8.25,PT,2021-06-26
lagoa,-27.9833,39.05,65.98,80,6,8.79,PT,2021-06-26
tuatapere,167.6833,-46.1333,52.83,91,62,1.3,NZ,2021-06-26
liverpool,-2.9779,53.4106,54.77,80,98,5.39,GB,2021-06-26
daniel flores,-83.6694,9.3355,71.24,92,100,0.22,CR,2021-06-26
hithadhoo,73.0833,-0.6,81.86,69,100,9.71,MV,2021-06-26
kodiak,-152.4072,57.79,53.11,71,75,14.97,US,2021-06-26
bankura,87.0667,23.25,83.57,77,74,8.28,IN,2021-06-26
khandyga,135.6,62.6667,78.26,38,95,3.62,RU,2021-06-26
bereda,-7.5406,43.2686,58.14,100,100,4.12,ES,2021-06-26
dicabisagan,122.4157,17.0818,87.53,63,100,4.99,PH,2021-06-26
torbay,-52.7314,47.6666,59.16,100,0,10.11,CA,2021-06-26
nome,-165.4064,64.5011,59.16,67,40,18.41,US,2021-06-26
kaitangata,169.8464,-46.2817,51.21,90,80,1.43,NZ,2021-06-26
provideniya,-173.3,64.3833,43.48,86,100,3.29,RU,2021-06-26
collie,116.15,-33.3667,49.71,61,6,4.38,AU,2021-06-26
olinda,-34.8553,-8.0089,71.33,83,40,8.05,BR,2021-06-26
souillac,57.5167,-20.5167,70.21,83,55,11.45,MU,2021-06-26
puerto ayora,-90.3518,-0.7393,71.55,94,70,8.01,EC,2021-06-26
rio grande,-52.0986,-32.035,51.94,74,48,6.87,BR,2021-06-26
bambous virieux,57.7575,-20.3428,70.27,83,81,12.88,MU,2021-06-26
necochea,-58.7368,-38.5473,45.03,58,100,8.48,AR,2021-06-26
ahipara,173.1667,-35.1667,63.57,81,100,12.21,NZ,2021-06-26
panzhihua,101.7128,26.5851,77.76,81,100,1.01,CN,2021-06-26
ponta do sol,-17.1,32.6667,66.7,72,21,1.86,PT,2021-06-26
batemans bay,150.1833,-35.7167,61.92,48,15,8.9,AU,2021-06-26
ojinaga,-104.4167,29.5667,97.57,38,1,5.75,MX,2021-06-26
capreol,-80.9225,46.706,65.91,93,100,4.94,CA,2021-06-26
cidreira,-50.2056,-30.1811,57.76,75,51,7.36,BR,2021-06-26
coquimbo,-71.3436,-29.9533,56.93,88,75,3.44,CL,2021-06-26
san pedro,121.0167,14.35,86.32,76,20,6.91,PH,2021-06-26
beringovskiy,179.3167,63.05,39.94,87,100,12.41,RU,2021-06-26
bathsheba,-59.5167,13.2167,81.21,69,40,19.57,BB,2021-06-26
sao joao da barra,-41.0511,-21.6403,70.88,83,56,12.68,BR,2021-06-26
kupang,123.5833,-10.1667,81.18,78,75,13.8,ID,2021-06-26
le moule,-61.3473,16.3332,77.04,79,100,17.76,GP,2021-06-26
broome,-75.833,42.2506,72.18,67,1,7.0,US,2021-06-26
westport,-73.3579,41.1415,71.26,87,1,1.01,US,2021-06-26
talnakh,88.3972,69.4865,44.96,62,100,23.13,RU,2021-06-26
mapiripan,-72.1256,2.8892,73.65,93,80,2.66,CO,2021-06-26
faya,42.4509,18.3851,68.52,26,100,3.6,SA,2021-06-26
deputatskiy,139.9,69.3,75.43,28,100,10.02,RU,2021-06-26
marsh harbour,-77.0636,26.5412,81.52,75,10,14.45,BS,2021-06-26
lorengau,147.2712,-2.0226,84.33,71,96,5.53,PG,2021-06-26
tarauaca,-70.7656,-8.1614,78.31,67,94,1.99,BR,2021-06-26
ambilobe,49.05,-13.2,64.09,88,7,3.38,MG,2021-06-26
marzuq,46.4667,14.4,75.69,44,95,5.79,YE,2021-06-26
bahia honda,-83.1592,22.9036,78.55,81,100,6.08,CU,2021-06-26
victoria,114.1577,22.2855,82.38,95,93,4.0,HK,2021-06-26
la tuque,-72.7824,47.4334,61.23,96,100,4.56,CA,2021-06-26
aketi,23.7833,2.7388,71.33,81,30,0.47,CD,2021-06-26
narasannapeta,84.05,18.4167,84.38,68,100,5.1,IN,2021-06-26
lata,-8.3327,40.1629,60.93,64,93,0.85,PT,2021-06-26
muroto,134.15,33.2833,74.28,80,100,6.31,JP,2021-06-26
mattru,-11.8332,7.6244,72.5,99,100,3.65,SL,2021-06-26
denia,0.1057,38.8408,72.79,61,6,6.8,ES,2021-06-26
lebu,-73.65,-37.6167,46.53,73,3,9.62,CL,2021-06-26
inuvik,-133.7218,68.3499,65.16,68,75,12.66,CA,2021-06-26
iberia,-91.7507,29.9502,80.56,89,20,0.0,US,2021-06-26
wakkanai,141.6739,45.4094,61.59,88,100,20.18,JP,2021-06-26
mackay,149.2,-21.15,72.05,82,68,10.63,AU,2021-06-26
bud,-86.1758,39.447,80.69,84,100,13.78,US,2021-06-26
vila franca do campo,-25.4333,37.7167,66.61,94,100,7.52,PT,2021-06-26
daru,143.2092,-9.0763,80.46,74,67,12.84,PG,2021-06-26
rocha,-54.3333,-34.4833,49.1,81,94,4.65,UY,2021-06-26
keti bandar,67.4497,24.1447,82.76,76,28,20.51,PK,2021-06-26
morrope,-80.0111,-6.5417,65.79,78,12,16.11,PE,2021-06-26
luang prabang,102.1347,19.8856,77.4,90,100,1.28,LA,2021-06-26
erzin,36.2,36.9559,74.12,89,4,0.76,TR,2021-06-26
chapais,-74.8492,49.7834,62.24,94,100,10.45,CA,2021-06-26
zhezkazgan,67.7144,47.8043,65.21,42,96,4.05,KZ,2021-06-26
umm kaddadah,26.6876,13.6017,87.24,36,100,8.48,SD,2021-06-26
smolenka,113.4974,52.1352,68.07,68,100,2.24,RU,2021-06-26
kut chap,102.5669,17.4257,81.99,93,93,4.38,TH,2021-06-26
manokwari,134.0833,-0.8667,82.69,68,100,3.83,ID,2021-06-26
kyabe,18.9449,9.4515,77.77,68,31,4.7,TD,2021-06-26
senno,33.9167,59.5336,61.27,85,48,3.85,RU,2021-06-26
bambanglipuro,110.2833,-7.95,66.6,83,13,3.27,ID,2021-06-26
palmerston,130.9833,-12.486,81.93,65,0,12.66,AU,2021-06-26
ishigaki,124.1572,24.3448,82.35,82,79,6.73,JP,2021-06-26
karratha,116.8463,-20.7377,61.57,46,10,21.5,AU,2021-06-26
puerto leguizamo,-74.7819,-0.1934,72.91,95,99,1.92,CO,2021-06-26
cookeville,-85.5016,36.1628,78.51,69,1,4.61,US,2021-06-26
la ronge,-105.2842,55.1001,67.53,56,87,8.32,CA,2021-06-26
mandalgovi,106.2708,45.7625,66.52,55,0,2.55,MN,2021-06-26
yellowknife,-114.3525,62.456,67.86,50,0,11.36,CA,2021-06-26
ribeira brava,-17.0667,32.65,66.7,74,12,1.59,PT,2021-06-26
xucheng,110.1288,20.35,84.49,72,97,6.71,CN,2021-06-26
kapit,112.9333,2.0167,78.69,86,28,2.15,MY,2021-06-26
cayenne,-52.3333,4.9333,81.09,82,19,4.0,GF,2021-06-26
morant bay,-76.4093,17.8815,76.66,82,12,8.01,JM,2021-06-26
hualmay,-77.6139,-11.0964,63.46,81,31,10.63,PE,2021-06-26
los llanos de aridane,-17.9182,28.6585,65.95,64,90,9.22,ES,2021-06-26
vanimo,141.3028,-2.6741,80.35,84,100,3.56,PG,2021-06-26
tromso,18.957,69.6496,46.42,81,75,4.61,NO,2021-06-26
goderich,-81.7165,43.7501,70.03,98,100,17.54,CA,2021-06-26
verkhoyansk,133.385,67.5447,82.31,29,62,7.38,RU,2021-06-26
hay river,-115.7999,60.8156,66.72,53,84,4.14,CA,2021-06-26
sisimiut,-53.6735,66.9395,41.88,90,100,9.86,GL,2021-06-26
samarai,150.6667,-10.6167,81.14,76,66,7.9,PG,2021-06-26
abu samrah,37.1841,35.3029,74.55,54,0,6.04,SY,2021-06-26
east london,27.9116,-33.0153,66.22,38,0,21.16,ZA,2021-06-26
udachnyy,112.4,66.4167,76.32,46,12,7.49,RU,2021-06-26
laguna,-121.4238,38.421,97.92,34,1,5.99,US,2021-06-26
ler,30.1418,8.3018,76.28,60,100,2.42,SS,2021-06-26
yaring,101.3689,6.8662,80.6,73,33,4.25,TH,2021-06-26
auki,160.7034,-8.7676,80.64,81,100,6.62,SB,2021-06-26
bima,118.7167,-8.4667,82.36,77,13,4.34,ID,2021-06-26
ajdabiya,20.2263,30.7554,81.57,39,0,5.68,LY,2021-06-26
maputo,32.5892,-25.9653,66.22,60,1,7.0,MZ,2021-06-26
kavieng,150.7967,-2.5744,84.99,68,34,7.43,PG,2021-06-26
arica,-70.3042,-18.475,61.03,72,90,0.0,CL,2021-06-26
itupiranga,-49.3267,-5.1347,73.72,71,98,1.05,BR,2021-06-26
akure,5.1931,7.2526,71.08,99,48,2.8,NG,2021-06-26
pag,15.0575,44.445,63.18,55,0,8.08,HR,2021-06-26
noshiro,140.0242,40.2039,72.59,56,100,4.41,JP,2021-06-26
mount gambier,140.7667,-37.8333,49.59,79,100,7.07,AU,2021-06-26
banjar,114.9675,-8.19,80.46,75,4,0.16,ID,2021-06-26
esperance,121.9,-33.8667,53.42,65,0,11.27,AU,2021-06-26
straumen,11.2999,63.8709,50.95,90,100,3.18,NO,2021-06-26
praya,-23.5087,14.9215,73.94,83,75,18.41,CV,2021-06-26
lexington,-84.4777,37.9887,79.92,65,1,11.5,US,2021-06-26
tansen,83.5467,27.8673,66.11,91,100,3.27,NP,2021-06-26
emirdag,31.15,39.0197,64.51,80,0,5.91,TR,2021-06-26
mongoumba,18.5936,3.6415,72.16,76,7,0.13,CF,2021-06-26
vanavara,102.2797,60.34,68.41,48,99,4.9,RU,2021-06-26
komsomolskiy,71.7189,40.4272,69.22,30,0,7.34,UZ,2021-06-26
port hedland,118.5667,-20.3167,64.45,36,0,20.71,AU,2021-06-26
xihe,113.4659,31.6864,76.66,84,100,2.77,CN,2021-06-26
obo,26.4869,5.3998,69.39,79,99,2.19,CF,2021-06-26
port elizabeth,25.5701,-33.918,56.1,53,4,12.71,ZA,2021-06-26
grand-santi,-54.3833,4.25,73.6,90,13,2.73,GF,2021-06-26
beira,34.8389,-19.8436,65.03,87,0,6.91,MZ,2021-06-26
alofi,-169.9187,-19.0595,75.18,71,40,25.34,NU,2021-06-26
boden,21.6886,65.8252,57.2,82,100,3.98,SE,2021-06-26
port keats,129.55,-14.25,76.21,53,100,13.02,AU,2021-06-26
chuy,-53.4616,-33.6971,50.68,81,100,4.16,UY,2021-06-26
tabora,32.8,-5.0167,62.22,55,20,3.15,TZ,2021-06-26
yakeshi,120.7333,49.2833,71.31,69,100,0.69,CN,2021-06-26
omsukchan,155.8,62.5333,69.13,33,76,7.78,RU,2021-06-26
along,94.7667,28.1667,77.14,96,86,0.58,IN,2021-06-26
dogondoutchi,4.0287,13.6393,87.78,40,13,5.79,NE,2021-06-26
san quintin,-115.95,30.4833,68.25,73,0,14.67,MX,2021-06-26
noumea,166.4572,-22.2763,78.01,99,68,13.87,NC,2021-06-26
kapaa,-159.319,22.0752,84.52,74,20,1.99,US,2021-06-26
saint george,-113.5841,37.1041,97.39,13,1,1.99,US,2021-06-26
asau,26.4,46.4333,72.52,100,100,5.08,RO,2021-06-26
zonguldak,31.8333,41.25,61.25,95,6,5.7,TR,2021-06-26
longyearbyen,15.6401,78.2186,37.24,87,75,2.3,SJ,2021-06-26
kondinskoye,67.41,59.6481,54.88,67,100,4.34,RU,2021-06-26
dalbandin,64.4101,28.8947,79.7,15,0,8.79,PK,2021-06-26
bose,8.0137,45.4612,64.2,81,5,4.9,IT,2021-06-26
labuhan,112.2051,-6.8844,80.78,82,11,7.14,ID,2021-06-26
odessa,30.7326,46.4775,73.33,94,0,8.95,UA,2021-06-26
airai,125.4092,-8.9266,68.14,73,30,3.51,TL,2021-06-26
qaqortoq,-46.0333,60.7167,54.1,77,91,5.46,GL,2021-06-26
luderitz,15.1594,-26.6481,56.68,76,16,9.55,NA,2021-06-26
constitucion,-72.4167,-35.3333,48.13,79,1,10.13,CL,2021-06-26
akdepe,59.3788,42.0551,69.8,16,0,7.09,TM,2021-06-26
tiksi,128.8694,71.6872,46.36,75,100,10.8,RU,2021-06-26
lompoc,-120.4579,34.6391,82.56,74,1,7.0,US,2021-06-26
hami,93.45,42.8,78.35,24,0,4.47,CN,2021-06-26
belvedere marittimo,15.8617,39.6179,78.67,51,1,4.92,IT,2021-06-26
caldwell,-116.6874,43.6629,96.15,27,1,12.66,US,2021-06-26
coahuayana,-103.6833,18.7333,83.68,76,100,0.96,MX,2021-06-26
horsham,-0.3272,51.064,57.72,76,75,3.44,GB,2021-06-26
agirish,63.0231,61.9247,52.14,93,100,7.81,RU,2021-06-26
muyezerskiy,31.65,63.9333,61.56,77,100,4.16,RU,2021-06-26
vitim,112.5578,59.4511,74.64,59,8,1.34,RU,2021-06-26
buchanan,-10.0467,5.8808,74.66,94,100,9.98,LR,2021-06-26
avera,-82.5271,33.194,80.47,46,0,2.17,US,2021-06-26
kutum,24.6667,14.2,78.66,19,100,2.3,SD,2021-06-26
touros,-35.4608,-5.1989,76.1,76,84,17.47,BR,2021-06-26
puerto escondido,-97.0667,15.85,83.23,61,90,0.0,MX,2021-06-26
alekseyevsk,108.3492,57.8406,73.38,48,11,3.71,RU,2021-06-26
sazava,14.8967,49.8716,60.84,95,25,3.0,CZ,2021-06-26
long beach,-118.1892,33.767,93.18,69,1,10.0,US,2021-06-26
yeppoon,150.7333,-23.1333,65.98,90,100,7.05,AU,2021-06-26
saint-joseph,55.6167,-21.3667,68.36,74,4,3.74,RE,2021-06-26
naze,129.4833,28.3667,77.9,85,99,12.19,JP,2021-06-26
ardmore,-97.1436,34.1743,89.55,58,1,11.99,US,2021-06-26
russell,-85.1999,32.3502,79.83,78,1,0.0,US,2021-06-26
tirthahalli,75.2333,13.7,69.01,94,96,4.81,IN,2021-06-26
zhanaozen,52.8,43.3,85.91,23,0,10.4,KZ,2021-06-26
santa cruz,-63.1667,-17.8,69.26,94,96,14.97,BO,2021-06-26
qarchi gak,66.7889,37.04,69.89,19,0,13.27,AF,2021-06-26
tall kayf,41.0667,37.0833,82.11,23,0,7.02,TR,2021-06-26
buraydah,43.975,26.326,86.79,11,10,6.49,SA,2021-06-26
bandarbeyla,50.8122,9.4942,77.67,73,83,27.69,SO,2021-06-26
bobo dioulasso,-4.2979,11.1771,73.44,65,100,3.62,BF,2021-06-26
nosy varika,48.5333,-20.5833,62.92,90,16,4.36,MG,2021-06-26
santa comba,-8.8093,43.0331,59.79,97,58,4.09,ES,2021-06-26
mehamn,27.8492,71.0357,46.36,90,90,19.48,NO,2021-06-26
yulara,130.9889,-25.2406,51.64,50,0,11.5,AU,2021-06-26
talara,-81.2719,-4.5772,65.89,89,32,19.26,PE,2021-06-26
mananjary,48.3333,-21.2167,63.46,89,5,4.81,MG,2021-06-26
chamalieres,3.0631,45.7756,52.52,87,20,0.0,FR,2021-06-26
zhigansk,123.3711,66.7697,68.7,62,38,13.31,RU,2021-06-26
vinh,105.6667,18.6667,84.0,72,100,3.49,VN,2021-06-26
stornoway,-6.3865,58.2093,44.56,93,19,3.44,GB,2021-06-26
belaya gora,146.4167,68.5333,81.36,22,69,9.93,RU,2021-06-26
lasa,10.7002,46.6166,55.02,90,11,1.41,IT,2021-06-26
saryg-sep,95.6,51.5,51.26,90,100,1.01,RU,2021-06-26
surgut,73.4167,61.25,55.58,82,0,6.71,RU,2021-06-26
gushikawa,127.8686,26.3544,83.79,86,20,12.66,JP,2021-06-26
kaohsiung,120.3133,22.6163,82.35,87,75,1.99,TW,2021-06-26
carnarvon,113.6333,-24.8667,60.87,42,91,12.66,AU,2021-06-26
katangli,143.2326,51.7102,48.78,76,47,9.15,RU,2021-06-26
buluang,123.3425,13.3068,87.04,64,99,2.84,PH,2021-06-26
ahuimanu,-157.8378,21.4447,83.91,60,20,9.22,US,2021-06-26
aswan,32.907,24.0934,86.11,26,0,11.25,EG,2021-06-26
severo-kurilsk,156.125,50.6789,43.95,97,100,7.76,RU,2021-06-26
tura,90.2201,25.5198,77.52,88,32,5.5,IN,2021-06-26
gravdal,13.5031,68.1214,47.84,65,99,3.94,NO,2021-06-26
pontianak,109.3333,-0.0333,78.78,94,20,3.44,ID,2021-06-26
subirana,-87.45,15.2,72.84,94,100,2.28,HN,2021-06-26
randazzo,14.9501,37.8774,77.88,31,28,4.12,IT,2021-06-26
margate,1.3862,51.3813,58.91,89,73,1.99,GB,2021-06-26
jutai,-68.9,-5.1833,72.72,94,66,1.74,BR,2021-06-26
kamenka,42.7678,51.3223,71.22,75,13,6.31,RU,2021-06-26
rayon,-99.5836,19.1444,57.92,91,100,5.46,MX,2021-06-26
xining,101.7667,36.6167,62.73,70,93,2.39,CN,2021-06-26
san patricio,-97.5169,28.017,86.72,73,11,15.82,US,2021-06-26
tukan,57.4552,53.8409,61.12,95,72,1.72,RU,2021-06-26
bilibino,166.4372,68.0546,65.71,37,9,0.51,RU,2021-06-26
dingle,122.6711,10.9995,84.61,73,62,2.26,PH,2021-06-26
